A B C
64 63 45
82 30 64
91 94 47
88 99 6
15 72 28
39 26 7
31 60 94
44 72 42
28 4 79
41 98 22
81 52 95
48 44 52
86 79 99
67 68 67
70 89 68
7 75 4
40 3 16
58 37 17
69 93 17
42 32 8
21 39 55
65 65 94
95 18 68
69 44 46
27 41 26
61 55 40
91 16 37
28 38 45
12 27 74
53 32 38
12 77 87
41 9 6
42 97 18
24 59 69
61 33 98
3 51 38
95 43 54
73 16 12
96 22 93
22 45 91
37 79 79
62 54 26
22 20 43
56 81 59
43 31 90
10 10 57
4 29 1
32 73 28
69 56 94
77 27 13
34 83 76
96 59 1
67 91 18
5 47 93
24 21 65
41 82 22
32 89 52
79 53 75
44 38 38
26 34 52
96 12 94
90 40 37
2 21 44
64 61 60
89 100 91
64 99 10
100 72 37
6 26 86
56 24 64
33 87 40
23 10 100
88 99 73
72 22 28
76 22 65
18 16 77
14 93 75
79 46 31
38 87 95
83 29 94
71 19 13
89 10 36
19 58 91
6 51 40
21 66 48
50 2 62
55 25 39
86 5 25
71 14 1
33 41 66
29 79 56
58 42 13
14 84 97
63 48 26
74 95 50
59 83 56
100 64 28
95 75 78
16 28 33
55 38 50
34 89 33
51 100 29
23 52 51
96 32 35
60 10 84
87 36 52
65 10 59
54 61 77
17 79 8
51 88 22
9 73 8
12 85 94
27 18 37
85 8 73
93 27 68
7 39 60
16 90 87
36 81 8
21 35 24
25 42 53
15 40 8
52 39 63
42 20 70
67 14 50
18 63 9
92 1 57
23 2 80
5 75 59
22 67 1
28 95 11
73 46 59
76 40 19
87 4 43
81 33 26
57 55 25
81 90 53
52 79 11
18 95 40
32 54 43
12 49 92
87 44 1
99 44 24
30 64 4
73 52 69
42 17 18
17 32 74
19 83 8
38 70 29
61 30 71
22 97 66
98 32 63
47 68 33
13 34 1
5 16 80
31 14 83
40 75 47
50 89 14
88 47 44
82 14 95
28 93 96
54 78 95
64 37 89
63 51 66
92 19 88
66 74 8
89 69 51
77 72 48
11 43 80
90 65 70
37 63 36
19 1 84
1 98 8
93 30 14
4 46 8
79 37 36
5 89 55
90 81 25
12 79 88
65 8 18
59 78 70
98 84 56
43 40 75
34 7 50
32 2 79
56 37 82
84 15 7
82 32 15
86 69 39
49 79 26
91 7 16
28 59 41
47 82 56
86 8 69
18 81 43
66 81 52
1 90 76
77 90 78
96 48 11
63 14 35
96 47 13
72 53 91
18 95 16
80 7 16
87 71 71
86 17 82
39 14 42
16 26 94
79 90 98
10 52 14
96 1 52
53 80 29
58 100 50
79 37 11
49 54 66
26 34 96
38 73 13
38 19 69
85 44 82
98 50 95
49 87 6
6 66 58
7 81 84
18 5 4
93 37 82
88 17 32
28 24 11
82 36 44
40 80 76
8 23 62
22 39 5
20 4 18
81 38 85
55 46 66
63 47 67
75 82 28
6 35 98
18 76 23
79 50 9
93 48 18
56 91 22
84 28 46
19 30 39
83 62 92
65 50 68
56 34 86
1 75 38
1 18 69
8 19 63
2 47 44
21 33 25
58 56 73
26 16 91
85 95 31
47 86 14
8 16 79
6 16 37
29 17 24
28 97 47
71 12 74
74 63 32
8 11 65
5 99 9
10 89 11
16 44 52
75 17 82
93 58 13
43 59 97
12 7 10
22 66 56
76 74 26
88 90 69
49 31 36
5 3 2
42 15 57
78 43 69
19 74 75
67 65 94
3 72 71
16 58 86
20 43 4
21 100 18
99 3 86
30 90 96
65 83 85
51 95 95
58 86 37
98 61 39
56 95 67
79 74 24
50 56 3
17 45 80
28 48 55
37 92 68
89 55 80
73 48 53
21 93 41
72 25 78
95 61 66
59 44 96
86 39 66
63 39 25
84 52 5
38 76 56
89 1 23
91 75 94
51 22 37
14 73 78
86 2 39
23 25 87
63 79 40
30 59 47
95 29 42
60 21 37
9 47 62
76 40 28
78 18 13
17 33 93
55 20 73
46 39 94
26 27 79
45 23 21
30 12 13
31 68 63
97 1 96
83 14 87
78 38 87
94 93 56
19 71 44
100 59 76
67 80 56
84 88 98
71 20 100
89 21 22
95 38 22
66 67 46
25 77 88
89 59 13
37 21 24
11 88 47
4 4 47
33 6 63
20 44 81
77 43 87
55 72 63
88 53 32
40 64 63
12 40 92
35 65 28
81 54 91
41 81 14
39 94 59
77 4 42
60 74 56
56 38 4
28 99 85
7 60 28
4 44 78
6 86 68
46 52 48
60 43 89
43 47 19
55 11 8
51 36 97
71 6 46
97 76 16
19 8 59
84 73 32
57 90 79
41 40 57
68 61 78
86 37 2
100 35 69
64 28 34
58 31 29
14 77 88
49 67 55
20 75 73
4 58 62
89 39 58
47 97 21
69 85 96
97 65 43
84 60 95
94 96 85
64 100 6
58 29 19
94 70 54
21 77 65
15 13 75
59 60 60
94 70 78
24 90 58
72 8 82
77 1 79
67 15 40
80 100 88
3 28 97
53 29 17
24 22 75
58 77 62
20 56 1
43 90 54
99 59 22
28 13 76
53 3 81
75 90 79
98 22 16
43 1 54
63 13 79
18 93 68
16 41 67
59 68 70
43 81 73
85 99 92
18 55 77
19 10 38
60 87 1
20 59 77
86 15 10
78 82 56
1 6 48
52 16 67
20 94 28
62 59 88
84 66 33
76 11 90
54 39 100
43 42 1
73 43 55
38 98 84
38 55 71
83 69 7
38 45 5
43 71 91
45 47 27
69 75 4
51 63 92
100 68 1
2 84 60
56 93 26
57 21 9
87 75 37
26 48 97
89 12 64
58 25 92
75 70 28
20 1 71
22 53 99
65 36 84
84 89 87
39 61 79
81 46 15
57 19 77
77 72 6
24 32 69
88 71 73
24 35 17
57 50 15
70 77 23
99 63 91
75 60 10
62 62 15
98 20 22
41 55 49
13 20 23
4 97 59
14 58 24
39 66 88
81 15 8
7 37 74
76 35 92
40 83 52
18 85 51
75 70 71
75 63 50
11 18 89
31 13 45
39 74 6
76 29 71
62 91 96
33 36 86
69 70 54
99 51 35
29 60 28
54 7 52
28 41 24
3 73 91
57 35 29
70 36 48
34 50 31
57 61 60
14 38 57
82 37 77
45 50 99
1 68 72
18 48 8
95 64 76
91 86 71
11 33 55
63 81 24
16 42 17
53 90 72
78 13 60
100 73 99
61 3 57
56 85 100
55 65 26
99 32 80
77 88 72
16 91 27
1 85 11
6 88 49
2 51 60
29 80 86
87 30 84
68 90 17
14 86 73
53 87 36
32 1 6
27 22 4
87 72 38
73 42 36
71 28 99
94 4 52
57 3 47
66 29 9
3 43 86
61 3 9
50 95 24
2 26 32
23 72 42
26 63 93
1 67 29
20 47 57
53 63 95
88 91 93
57 37 96
42 58 77
27 52 3
86 83 10
54 12 86
98 73 8
15 97 89
71 58 41
54 80 27
40 22 23
40 100 62
77 86 57
30 8 49
29 66 82
61 96 83
80 54 71
100 61 75
35 82 56
66 66 86
4 24 23
17 45 33
71 71 70
68 53 63
4 83 96
86 55 29
7 78 100
88 22 25
36 72 14
11 31 58
22 73 82
60 39 18
22 79 86
79 85 49
27 33 81
80 61 19
68 72 90
32 63 87
38 40 23
33 45 24
76 88 60
99 85 31
61 73 4
87 11 51
95 43 40
58 88 31
2 40 95
95 6 45
36 14 60
33 17 70
1 47 74
41 17 36
82 33 43
51 83 2
36 25 37
20 93 8
68 99 95
16 6 23
53 96 23
27 71 49
36 21 51
34 54 44
7 94 98
63 39 18
93 10 80
43 40 28
75 19 83
33 70 3
34 9 22
95 17 56
35 64 14
23 87 53
56 79 71
39 36 35
44 21 39
96 30 27
15 22 44
83 18 83
25 30 3
97 61 98
28 52 90
87 21 16
68 79 75
73 24 70
54 43 39
55 88 3
82 47 95
21 62 11
67 28 10
23 92 84
57 19 22
10 1 50
44 38 85
79 25 87
23 12 69
21 77 10
69 92 95
99 10 48
42 77 66
100 43 92
75 34 40
93 38 19
50 17 10
63 9 26
70 64 16
23 15 28
27 22 99
33 78 69
81 65 67
48 37 3
45 12 26
39 60 52
15 96 37
82 76 70
59 1 44
78 80 26
86 9 23
83 89 24
92 32 56
39 56 78
60 49 22
70 91 91
95 93 98
2 9 56
79 76 66
5 62 43
30 73 100
54 79 83
4 93 99
39 74 70
78 4 7
57 4 2
47 87 59
59 14 56
63 77 40
65 40 100
8 7 32
46 74 1
87 16 67
51 9 55
89 26 68
92 3 39
41 82 66
31 89 26
63 31 84
37 29 85
93 38 98
53 67 34
48 76 19
87 89 68
49 36 69
5 88 17
22 83 100
100 50 89
100 34 60
63 93 6
78 66 94
3 31 17
31 52 44
22 44 22
77 62 12
46 12 96
43 20 80
58 85 27
35 76 21
43 36 47
97 40 71
76 83 46
52 17 23
21 73 9
32 78 68
16 27 28
15 62 46
14 4 98
96 98 62
74 84 27
15 88 42
